timestamp,header,name,position,velocity,effort
1769100597437808347,"{'stamp': {'sec': 1769100597, 'nanosec': 427856625}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100597498010680,"{'stamp': {'sec': 1769100597, 'nanosec': 487946911}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100597535392713,"{'stamp': {'sec': 1769100597, 'nanosec': 527872435}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100597588644990,"{'stamp': {'sec': 1769100597, 'nanosec': 578030943}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100597648298396,"{'stamp': {'sec': 1769100597, 'nanosec': 627699429}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100597686227723,"{'stamp': {'sec': 1769100597, 'nanosec': 677910030}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100597733717876,"{'stamp': {'sec': 1769100597, 'nanosec': 727801684}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100597797169243,"{'stamp': {'sec': 1769100597, 'nanosec': 778031322}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100597840036233,"{'stamp': {'sec': 1769100597, 'nanosec': 827970551}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100597884094920,"{'stamp': {'sec': 1769100597, 'nanosec': 877695001}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100597944998560,"{'stamp': {'sec': 1769100597, 'nanosec': 927915953}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100597989316365,"{'stamp': {'sec': 1769100597, 'nanosec': 977708718}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100598037203126,"{'stamp': {'sec': 1769100598, 'nanosec': 28141098}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100598097202703,"{'stamp': {'sec': 1769100598, 'nanosec': 78155623}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100598140264701,"{'stamp': {'sec': 1769100598, 'nanosec': 127703368}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100598189765782,"{'stamp': {'sec': 1769100598, 'nanosec': 177891395}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100598247486893,"{'stamp': {'sec': 1769100598, 'nanosec': 227874494}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100598290432908,"{'stamp': {'sec': 1769100598, 'nanosec': 277903427}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100598338506850,"{'stamp': {'sec': 1769100598, 'nanosec': 327892822}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100598386123938,"{'stamp': {'sec': 1769100598, 'nanosec': 377691735}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100598438467308,"{'stamp': {'sec': 1769100598, 'nanosec': 427901966}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100598486616635,"{'stamp': {'sec': 1769100598, 'nanosec': 477782675}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100598545034988,"{'stamp': {'sec': 1769100598, 'nanosec': 528075962}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100598588567052,"{'stamp': {'sec': 1769100598, 'nanosec': 578307544}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100598634377372,"{'stamp': {'sec': 1769100598, 'nanosec': 627710769}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100598694070813,"{'stamp': {'sec': 1769100598, 'nanosec': 677930722}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100598742795251,"{'stamp': {'sec': 1769100598, 'nanosec': 727810543}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100598787480661,"{'stamp': {'sec': 1769100598, 'nanosec': 778083070}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100598847539256,"{'stamp': {'sec': 1769100598, 'nanosec': 827990983}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
